peakId,B_plate1_run1_10302020,B_plate1_run2_10302020,B_plate1_run3_10302020,B_plate2_run1_10302020,B_plate2_run2_10302020,B_plate2_run3_10302020,B_plate3_run1_10302020,B_plate3_run2_10302020,B_plate3_run3_10302020,L_plate1_run1_10302020,L_plate1_run2_10302020,L_plate1_run3_10302020,L_plate2_run1_10302020,L_plate2_run2_10302020,L_plate2_run3_10302020,L_plate3_run1_10302020,L_plate3_run2_10302020,L_plate3_run3_10302020,M_plate1_run1_10302020,M_plate1_run2_10302020,M_plate1_run3_10302020,M_plate2_run1_10302020,M_plate2_run2_10302020,M_plate2_run3_10302020,M_plate3_run1_10302020,M_plate3_run2_10302020,M_plate3_run3_10302020,P_plate1_run1_10302020,P_plate1_run2_10302020,P_plate1_run3_10302020,P_plate2_run1_10302020,P_plate2_run2_10302020,P_plate2_run3_10302020,P_plate3_run1_10302020,P_plate3_run2_10302020,P_plate3_run3_10302020
JC006_6.47,154055072.0,199909264.0,199133600.0,189152992.0,211824816.0,239434160.0,82192608.0,96510296.0,99342696.0,206694688.0,263993904.0,368472512.0,184781984.0,227257424.0,242676128.0,94600496.0,100371808.0,103551728.0,247722832.0,259520944.0,322352608.0,196532832.0,214469312.0,223677440.0,82631456.0,107641488.0,105039256.0,596192896.0,546686208.0,646410048.0,532228800.0,555276288.0,873600128.0,284646048.0,320304928.0,337560032.0
JC008_6.50,190219456.0,212892752.0,199190048.0,222724576.0,225959424.0,213971552.0,110337552.0,108662952.0,103333840.0,416475296.0,430480864.0,451539552.0,373476576.0,397308832.0,376231840.0,211139680.0,197145488.0,191785504.0,8115451.0,9257405.0,8428525.0,7981537.5,8516350.0,8606529.0,4563318.0,4718416.0,4624319.5,465485440.0,430876352.0,443939296.0,467345504.0,448089120.0,438063136.0,273973568.0,271703424.0,259959904.0
JC012_6.51,160360848.0,197154944.0,194692912.0,444837312.0,491297376.0,518857760.0,281587776.0,301441600.0,301060736.0,274989824.0,311258944.0,330276512.0,646824896.0,716619648.0,740333504.0,409306880.0,425683712.0,428217440.0,19948068.0,24712066.0,23398178.0,49373516.0,57372192.0,59674168.0,34965540.0,37664652.0,38669328.0,88736952.0,97864528.0,107205432.0,242505136.0,257159600.0,242028880.0,164994512.0,174609808.0,180174416.0
JC003_6.52,657787264.0,652350464.0,791031744.0,465468736.0,525091488.0,601034112.0,953438272.0,1105936384.0,1132712576.0,307648608.0,334294208.0,309893696.0,256830448.0,259433936.0,294910560.0,378924128.0,484737376.0,486667104.0,13368264.0,15648553.0,15360903.0,10751499.0,13033562.0,13677517.0,25386602.0,24737510.0,26928078.0,147285536.0,199659488.0,219762480.0,153232608.0,180760832.0,131341664.0,294384032.0,328747936.0,365625088.0
JC009_6.52,310899840.0,289687104.0,303655264.0,117449192.0,119633952.0,118052440.0,144835264.0,146209632.0,139246688.0,539201408.0,516834208.0,466649376.0,205025408.0,199271696.0,195299264.0,215202144.0,231122384.0,222495136.0,34963816.0,37064780.0,34250388.0,13738852.0,14391050.0,14364718.0,17455170.0,17110596.0,16775584.0,512896864.0,554923392.0,559202496.0,238943840.0,234706208.0,187565616.0,302298112.0,303585120.0,294824000.0
JC001_6.54,246228272.0,236854384.0,300792352.0,170160960.0,191949104.0,221751392.0,314145024.0,385874016.0,410053856.0,251042064.0,275372448.0,273596576.0,208751280.0,217708352.0,258560896.0,299512704.0,396539840.0,404347648.0,25860654.0,30847774.0,31733574.0,20807648.0,24869680.0,26308840.0,39713888.0,45044164.0,46857592.0,368574880.0,511936384.0,567673408.0,354342112.0,462344192.0,359792320.0,677010944.0,805082880.0,929290304.0
JC005_9.47,131877576.0,141743888.0,160641184.0,163374112.0,177166752.0,200481584.0,200826432.0,228083536.0,235558176.0,153858528.0,176588160.0,192171184.0,172234480.0,183410128.0,202319472.0,213604176.0,246162048.0,248319728.0,1322095744.0,1478500224.0,1511222784.0,1611681536.0,1806269440.0,1886410240.0,1934129536.0,2168655616.0,2200296960.0,77419544.0,84843904.0,98172624.0,98235968.0,108608080.0,114220720.0,127011440.0,142326656.0,156776064.0
JC004_12.63,86334968.0,92864840.0,112218128.0,104457024.0,118403200.0,142084736.0,302580832.0,356629536.0,377500960.0,299408416.0,336411392.0,342232576.0,397062688.0,422645984.0,490802560.0,1081008000.0,1383772800.0,1417947392.0,35801856.0,42938564.0,44904164.0,47302892.0,57731612.0,62284272.0,139903984.0,158260784.0,169303392.0,85722696.0,113080136.0,131956064.0,133145648.0,155795408.0,135675920.0,365628928.0,407081504.0,462175328.0
JC010_17.07,256643584.0,304690208.0,329521408.0,386976896.0,429148512.0,493255328.0,245085408.0,286509824.0,298341728.0,165542256.0,199128016.0,233809968.0,213876368.0,245768928.0,271780160.0,137969776.0,155426928.0,159818336.0,312042400.0,375391488.0,400970784.0,399197440.0,460715584.0,482314368.0,247540592.0,300688672.0,301271584.0,155674720.0,165756288.0,194946384.0,217502560.0,237026800.0,277128736.0,150869184.0,170655232.0,187776352.0
JC007_17.12,392991840.0,433268768.0,450829536.0,343072480.0,366402720.0,386767328.0,351054656.0,375025568.0,367841280.0,279723104.0,309427328.0,323021824.0,201989488.0,208499104.0,214142736.0,206989776.0,219997728.0,216665552.0,105813888.0,119069536.0,115022456.0,81697896.0,90547392.0,92387040.0,89760120.0,93789144.0,94660232.0,81394752.0,87256848.0,95348832.0,70549216.0,73521728.0,69748696.0,80255064.0,84832680.0,88434392.0
JC011_17.28,674288192.0,613214656.0,640985472.0,439762720.0,410157984.0,400381632.0,246308480.0,243601472.0,228379248.0,455737920.0,427848544.0,406350400.0,232405232.0,225428400.0,217620384.0,139286112.0,137952032.0,131787784.0,458197408.0,451144960.0,401226560.0,285631776.0,281136192.0,262363072.0,154570032.0,144957616.0,137045104.0,209539776.0,202402448.0,207427472.0,138866656.0,133280968.0,127602168.0,91539144.0,91531912.0,89271520.0
JC002_18.92,203849808.0,206434368.0,223954176.0,202861264.0,217438256.0,227996752.0,184982976.0,203207824.0,201837920.0,109162040.0,114673304.0,107806624.0,113704856.0,116991456.0,123571488.0,88659688.0,101704784.0,100907768.0,12212460.0,14319254.0,13375080.0,13049737.0,14664083.0,14900402.0,12731539.0,13411120.0,13454889.0,659761600.0,797111872.0,844678848.0,787671936.0,903494912.0,723477376.0,761057472.0,813736896.0,834720384.0
