peakId,supervisionR2,intercept,batch2,batch3,cellB,cellL,cellM
JC006_6.47,0.9390713065710963,20.316017582127092,-0.06803387842757391,-0.8410543255195939,-1.1660293516629843,-1.0027956146558332,-1.0137525314309372
JC008_6.50,0.9987422254960021,19.964607490578018,-0.011004274965377222,-0.6305251966989054,-0.810240338947858,-0.16414186668327066,-3.999330696738191
JC012_6.51,0.9946334505537022,18.43958646867384,0.9067117097722484,0.4664524618403795,0.6110427611362177,1.0225142552791096,-1.5007876371779576
JC003_6.52,0.9943438920515155,19.077822824424224,-0.20104268888479668,0.4708567677993424,1.2420789999638073,0.4676744798843488,-2.5334585582383164
JC009_6.52,0.997704257079928,20.159241481354385,-0.9216201072404655,-0.7203851302726321,-0.6472155995824757,-0.15248961387706164,-2.777335137690338
JC001_6.54,0.9879649661764309,20.025288863110234,-0.2148449989235849,0.39369136158026613,-0.6919147716498697,-0.6336116304888111,-2.825560989972228
JC005_9.47,0.9941898872465246,18.317072760357107,0.17645831149649693,0.40127213367614,0.49286503398672604,0.5862500669185771,2.770142930287955
JC004_12.63,0.9866923441523722,18.501381951597843,0.26923879031073217,1.3259858492949828,-0.14964199034928638,1.122108029141729,-0.9594708548720702
JC010_17.07,0.9076057802936818,19.024729141545926,0.2877800291279732,-0.14970647299108417,0.5384723740416004,0.009169632644005374,0.6215893825268544
JC007_17.12,0.989289274433552,18.35204332873827,-0.24722796675272546,-0.18482006174474533,1.5576301445129361,1.0814474698503793,0.1863597967843456
JC011_17.28,0.9846988030166296,19.2280311045824,-0.49368789132640106,-1.0138800152648342,1.0815244517055873,0.5546431410395958,0.6493671851188596
JC002_18.92,0.997894243204775,20.48240531499049,0.05066015625831955,-0.03977966568560729,-1.3344622399603028,-1.987313458735417,-4.064685867940908
